RPM_Left,RPM_Right,Pos_Left,Pos_Right,Pose,time_stamp
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189927602232, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189937561305, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189947603330, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189957482018, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189967498122, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189977470091, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189987471337, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745189997590561, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190007587288, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190017506162, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190027612580, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190037584508, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190047611142, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190057438760, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190067478349, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190077559618, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190087485065, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190097776161, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190107561748, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190117573202, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190127573445, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190137644304, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190147651240, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190157613599, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190167615544, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190177585779, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190187560191, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190197457264, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190207447206, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190217433723, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190227443143, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190237483242, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190247573730, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190257574774, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190267633399, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190277573054, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190287587574, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190297593318, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190307615212, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190317679449, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190327718676, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190337681877, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190347647293, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190357681100, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190367701381, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190377668529, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190387642131, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190397660268, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190407577078, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190417573463, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190427891181, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190437589519, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190447636702, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190457600454, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190467544578, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190477556603, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190487539231, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190497615661, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190507879144, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190517565779, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190527692867, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190537591362, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190547610421, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190557385228, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190567634502, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190577613083, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190587603015, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190597594270, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190607604192, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190617423303, clock_type=ROS_TIME)"
,,,,"[0.0, 0.0, 0.0]","Time(nanoseconds=1715745190627611660, clock_type=ROS_TIME)"
